case_identifier,case_title,document_title,document_type,party,argument_summary,legal_basis,key_keywords,court_followed,tribunal_reasoning
IDS-796,Itisaluna Iraq and others v. Iraq,Award,Award (Final),Claimant,"The Claimants argued that the Tribunal has jurisdiction because Article 17 of the OIC Agreement constitutes Iraq's consent to arbitration, and the MFN clause in Article 8 allows them to invoke the ICSID arbitration clause in the Iraq-Japan BIT.","OIC Agreement Arts. 8, 17, Iraq-Japan BIT Art. 17(4)(a), ICSID Convention Art. 25(1)","['MFN clause', 'ICSID jurisdiction', 'OIC Agreement', 'Iraq-Japan BIT', 'consent to arbitrate']",No,"The Tribunal found that the MFN clause in the OIC Agreement could not be used to incorporate the ICSID consent to arbitration from the Iraq-Japan BIT because the OIC Agreement established a specific dispute settlement regime, and the MFN clause was subject to limitations that excluded its application to incorporate an ICSID consent to arbitration clause from another treaty."
IDS-796,Itisaluna Iraq and others v. Iraq,Award,Award (Final),Claimant,"The Claimants argued, in the alternative, that the Tribunal has jurisdiction because the MFN clause in the OIC Agreement, together with the ICSID arbitration clause in the Iraq-Japan BIT, independently establish Iraq's consent to ICSID arbitration.","OIC Agreement Art. 8, Iraq-Japan BIT Art. 17(4)(a), ICSID Convention Art. 25(1)","['MFN clause', 'ICSID jurisdiction', 'OIC Agreement', 'Iraq-Japan BIT', 'consent to arbitrate']",No,"The Tribunal did not explicitly address this alternative argument, as it had already concluded that the MFN clause could not be used to incorporate the ICSID consent to arbitration from the Iraq-Japan BIT."
IDS-796,Itisaluna Iraq and others v. Iraq,Award,Award (Final),Respondent,The Respondent argued that the Tribunal lacks jurisdiction because Article 17 of the OIC Agreement does not provide consent to ICSID arbitration.,"OIC Agreement Art. 17, ICSID Convention Art. 25(1)","['ICSID jurisdiction', 'OIC Agreement', 'consent to arbitrate', 'Article 17']",Yes,"The Tribunal agreed with the Respondent's argument that Article 17 of the OIC Agreement does not constitute consent to ICSID arbitration, as it does not mention ICSID."
IDS-796,Itisaluna Iraq and others v. Iraq,Award,Award (Final),Respondent,The Respondent argued that Article 17 of the OIC Agreement does not provide consent to arbitration unless there is a separate agreement to opt into the OIC Agreement's dispute resolution procedure.,OIC Agreement Art. 17,"['OIC Agreement', 'Article 17', 'consent to arbitrate', 'conciliation']",Partial/Deferred,"The Tribunal found that resort to conciliation was a condition precedent to resort to arbitration under Article 17, but did not explicitly state whether this meant a separate agreement was required."
IDS-796,Itisaluna Iraq and others v. Iraq,Award,Award (Final),Respondent,"The Respondent argued that Article 17 of the OIC Agreement only provides for State-to-State arbitration, not investor-State arbitration.",OIC Agreement Art. 17,"['OIC Agreement', 'Article 17', 'investor-State arbitration', 'State-to-State arbitration']",Partial/Deferred,"The Tribunal found that Article 17 contemplated and addressed investor-State disputes, but this was not the basis for the Tribunal's decision."
IDS-796,Itisaluna Iraq and others v. Iraq,Award,Award (Final),Respondent,The Respondent argued that the MFN clause in Article 8 of the OIC Agreement cannot be invoked to establish consent to ICSID arbitration.,"OIC Agreement Art. 8, ICSID Convention Art. 25(1)","['MFN clause', 'ICSID jurisdiction', 'OIC Agreement', 'consent to arbitrate']",Yes,The Tribunal agreed with the Respondent's argument that the MFN clause in the OIC Agreement could not be relied upon to incorporate the ICSID consent to arbitration from the Iraq-Japan BIT.
IDS-796,Itisaluna Iraq and others v. Iraq,Award,Award (Final),Respondent,"The Respondent argued that, as a matter of proper interpretation, the MFN clause does not permit the importation of a dispute resolution clause from another treaty.","OIC Agreement Art. 8, VCLT Arts. 31-33","['MFN clause', 'treaty interpretation', 'OIC Agreement', 'VCLT']",Yes,"The Tribunal agreed with the Respondent's argument that the MFN clause in the OIC Agreement could not be relied upon to incorporate the ICSID consent to arbitration from the Iraq-Japan BIT, based on the systemic framework of the OIC Agreement."
IDS-796,Itisaluna Iraq and others v. Iraq,Award,Award (Final),Claimant,"The Claimants argued that the Respondent's conduct in the proceedings caused unnecessary costs and delay, and therefore the Respondent should bear the Claimants' costs.",ICSID Convention Art. 61(2),"['costs', 'allocation of costs', 'ICSID Convention']",No,"The Tribunal found that the Claimants should bear the lion's share of the costs, but each party should bear their own costs associated with the provisional measures phase of the proceedings."
IDS-796,Itisaluna Iraq and others v. Iraq,Award,Award (Final),Respondent,"The Respondent argued that, as the prevailing party, the Claimants should bear the costs of the arbitration in full.",ICSID Convention Art. 61(2),"['costs', 'allocation of costs', 'ICSID Convention']",Partial/Deferred,"The Tribunal found that the Claimants should bear the lion's share of the costs, but each party should bear their own costs associated with the provisional measures phase of the proceedings."
IDS-796,Itisaluna Iraq and others v. Iraq,Dissenting Opinion of Wolfgang Peter (Incorporated in Final Award),Dissenting Opinion,Claimant,"The Claimants argued that the MFN clause in the OIC Agreement incorporates the ICSID arbitration clause from the Iraq-Japan BIT, thereby establishing jurisdiction.","OIC Agreement Art. 8(1), Iraq-Japan BIT Art. 17, ICSID Convention Art. 25(1), Al-Warraq award","['MFN clause', 'ICSID arbitration', 'OIC Agreement', 'Iraq-Japan BIT', 'jurisdiction', 'Al-Warraq']",Yes,"Arbitrator Peter agreed with the Claimants, finding that Article 17 of the OIC Agreement, supplemented by the incorporation of the Iraq-Japan BIT's arbitration clause via the MFN clause, satisfied the written consent requirement of the ICSID Convention."
IDS-796,Itisaluna Iraq and others v. Iraq,Dissenting Opinion of Wolfgang Peter (Incorporated in Final Award),Dissenting Opinion,Claimant,"The Claimants argued that Article 17 of the OIC Agreement constitutes a general consent to arbitration, which is supplemented by the ICSID arbitration clause in the Iraq-Japan BIT through the MFN clause.","OIC Agreement Art. 17, Iraq-Japan BIT Art. 17, OIC Agreement Art. 8(1)","['Article 17 OIC Agreement', 'MFN clause', 'ICSID arbitration', 'Iraq-Japan BIT', 'jurisdiction']",Yes,"Arbitrator Peter agreed, stating that Article 17 of the OIC Agreement, in conjunction with the MFN clause and the Iraq-Japan BIT, provides a basis for jurisdiction."
IDS-796,Itisaluna Iraq and others v. Iraq,Dissenting Opinion of Wolfgang Peter (Incorporated in Final Award),Dissenting Opinion,Claimant,The Claimants argued that the MFN clause should be applied to substitute an efficient arbitration procedure for a defective one.,"OIC Agreement Art. 8(1), Iraq-Japan BIT Art. 17","['MFN clause', 'arbitration procedure', 'OIC Agreement', 'Iraq-Japan BIT', 'jurisdiction']",Yes,"Arbitrator Peter agreed with this argument, supporting the application of the MFN clause to improve the arbitration process."
IDS-796,Itisaluna Iraq and others v. Iraq,Dissenting Opinion of Wolfgang Peter (Incorporated in Final Award),Dissenting Opinion,Claimant,The Claimants argued that the limitations in Article 8(2) of the OIC Agreement should not apply in this case.,OIC Agreement Art. 8(2),"['OIC Agreement Art. 8(2)', 'MFN clause', 'limitations']",Yes,Arbitrator Peter agreed that the limitations in Article 8(2) were not applicable to the case.
IDS-796,Itisaluna Iraq and others v. Iraq,Dissenting Opinion of Wolfgang Peter (Incorporated in Final Award),Dissenting Opinion,Claimant,"The Claimants argued that the provisions of the Iraq-Japan BIT offer Japanese investors rights, privileges, and protections that are more favorable than those accorded under Article 17(2)(b) of the OIC Agreement.","Iraq-Japan BIT Art. 17, OIC Agreement Art. 17(2)(b)","['MFN clause', 'Iraq-Japan BIT', 'OIC Agreement', 'favorable treatment']",Yes,Arbitrator Peter agreed with the Claimants' submission.
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Claimant,"The Claimants argue that Spain breached Article 10(1) of the ECT by failing to create stable, equitable, favorable, and transparent conditions for their investment.",ECT Art. 10(1),"['FET', 'stability', 'transparency', 'ECT', 'renewable energy']",Yes,The Tribunal agreed that Spain had a duty to create stable conditions and that the Disputed Measures undermined this obligation.
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Claimant,The Claimants contend that Spain breached the FET standard by frustrating their legitimate expectations regarding the RD 661/2007 economic regime.,"ECT Art. 10(1), Customary International Law, VCLT Art. 31","['FET', 'legitimate expectations', 'RD 661/2007', 'stability', 'regulatory framework']",Yes,"The Tribunal agreed that Spain's actions, particularly the dismantling of the RD 661/2007 regime, frustrated the Claimants' legitimate expectations."
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Claimant,"The Claimants argue that Spain's conduct was not transparent, violating the FET standard.","ECT Art. 10(1), Plama v. Bulgaria, Electrabel v. Hungary, Tecmed v. Mexico","['FET', 'transparency', 'RDL 9/2013', 'regulatory changes', 'uncertainty']",Yes,"The Tribunal found that Spain's actions were not transparent, particularly the manner in which the New Regime was implemented."
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Claimant,"The Claimants argue that Spain's measures were unreasonable, disproportionate, and discriminatory, violating Article 10(1) of the ECT.","ECT Art. 10(1), Saluka v. Czech Republic, Micula v. Romania","['FET', 'unreasonable', 'disproportionate', 'discriminatory', 'tariff deficit']",Yes,"The Tribunal agreed that the measures were unreasonable and disproportionate, as they were not tailored to address the tariff deficit and had a significant impact on the Claimants' investment."
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Claimant,The Claimants argue that Spain's actions violated the Umbrella Clause in Article 10(1) of the ECT.,"ECT Art. 10(1), Eureko v. Poland, Plama v. Bulgaria, LG&E v. Argentina, Enron v. Argentina","['Umbrella Clause', 'obligations', 'RD 661/2007', 'contractual obligations', 'legislative undertakings']",Partial/Deferred,"The Tribunal did not address this argument, finding that the breach of FET was sufficient to grant relief."
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Respondent,"The Respondent argues that the Tribunal lacks jurisdiction because the Claimants are not investors ""of another Contracting Party"" under Article 26(1) of the ECT.","ECT Art. 26(1), VCLT Arts. 31-32","['jurisdiction', 'ratione personae', 'intra-EU', 'Contracting Party', 'Area']",No,"The Tribunal found that the Claimants, as investors from EU member states, were protected under the ECT and that the intra-EU objection was not valid."
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Respondent,"The Respondent argues that the Tribunal lacks jurisdiction due to the relationship between EU law and the ECT, specifically the principle of primacy of EU law.","EU Law, Costa v. ENEL, TFEU Art. 344, Achmea","['jurisdiction', 'EU law', 'primacy', 'CJEU', 'Achmea']",No,The Tribunal found that it derives its jurisdiction exclusively from the ECT and does not have to solve any question of hierarchy between EU law and international law for jurisdictional purposes.
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Respondent,The Respondent argues that the Tribunal lacks jurisdiction because of an implicit disconnection clause within the ECT.,"ECT, VCLT","['jurisdiction', 'disconnection clause', 'pacta sunt servanda', 'Achmea']",No,"The Tribunal rejected the argument of an implicit disconnection clause, stating that it would challenge the principle of *pacta sunt servanda*."
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Respondent,The Respondent argues that the Tribunal lacks jurisdiction because of the impact of the Achmea judgment of the CJEU.,"Achmea, TFEU Arts. 267, 344","['jurisdiction', 'Achmea', 'CJEU', 'TFEU', 'ISDS']",No,"The Tribunal found that the Achmea judgment, which dealt with an intra-EU BIT, was not applicable to the ECT-based arbitration."
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Respondent,The Respondent argues that the Tribunal lacks jurisdiction over the tax measures (TVPEE) because they fall under the taxation carve-out of Article 21 of the ECT.,"ECT Art. 21(1), ECT Art. 21(7)(a)(i), Saipem v. Bangladesh, Encana v. Ecuador","['jurisdiction', 'taxation carve-out', 'TVPEE', 'ECT Art. 21', 'bona fide']",Yes,"The Tribunal found that it lacked jurisdiction over the tax measures, as the TVPEE was a bona fide tax measure and therefore fell under the taxation carve-out."
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Respondent,The Respondent argues that the TVPEE is a bona fide tax measure for the purposes of the ECT.,"ECT Art. 21, Encana v. Ecuador, Yukos","['TVPEE', 'bona fide', 'taxation measure', 'general application', 'discrimination']",Yes,"The Tribunal found that the TVPEE was a bona fide tax measure, as it was of general application and not designed to achieve an unrelated purpose."
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Respondent,The Respondent argues that the primary objective of the ECT is non-discrimination and that the ECT does not bar States from adopting reasonable macroeconomic control measures.,"ECT Art. 2, Plama v. Bulgaria, AES Summit v. Hungary","['ECT', 'non-discrimination', 'macroeconomic control measures', 'FET', 'reasonable return']",Partial/Deferred,"The Tribunal agreed that the ECT's primary objective is non-discrimination, but found that Spain's measures, while potentially related to macroeconomic control, were not reasonable in the context of the Claimants' investment."
IDS-673,Watkins Holdings v. Spain,Award,Award (Final),Respondent,The Respondent argues that the Claimants’ expectations were not reasonable or objective.,"Charanne, Isolux","['legitimate expectations', 'reasonable', 'objective', 'regulatory framework', 'due diligence']",No,"The Tribunal found that the Claimants' expectations were legitimate and reasonable, based on Spain's representations and the regulatory framework in place at the time of the investment."
IDS-673,Watkins Holdings v. Spain,Dissent on Liability and Quantum of Prof. Dr. Hélène Ruiz Fabri,Dissenting Opinion,Claimant,"The dissenting judge supports the Tribunal's jurisdictional findings, including the dismissal of the Respondent's intra-EU jurisdictional objection.",,"['jurisdiction', 'intra-EU', 'objection']",Yes,The dissenting judge explicitly states support for the Tribunal's jurisdictional conclusions.
IDS-673,Watkins Holdings v. Spain,Dissent on Liability and Quantum of Prof. Dr. Hélène Ruiz Fabri,Dissenting Opinion,Claimant,"The dissenting judge disagrees with the majority's conclusions on liability and quantum, particularly regarding the FET standard.",,"['liability', 'quantum', 'FET', 'fair and equitable treatment']",No,The dissenting judge explicitly states disagreement with the majority's conclusions.
IDS-673,Watkins Holdings v. Spain,Dissent on Liability and Quantum of Prof. Dr. Hélène Ruiz Fabri,Dissenting Opinion,Claimant,"The Tribunal's reasoning lacks clarity and fails to adequately address the arguments of the parties, especially concerning the FET standard.",,"['FET', 'legal reasoning', 'legitimate expectations']",No,The dissenting judge argues the Tribunal did not sufficiently justify its reasoning.
IDS-673,Watkins Holdings v. Spain,Dissent on Liability and Quantum of Prof. Dr. Hélène Ruiz Fabri,Dissenting Opinion,Claimant,The Tribunal should have clearly rebutted the attempt to establish an autonomous standard of stability alongside FET.,"ECT Art. 10(1), ICJ Obligation to Negotiate Access to the Pacific Ocean (Bolivia v. Chile)","['FET', 'stability', 'Energy Charter Treaty', 'legitimate expectations']",No,The dissenting judge believes the Tribunal missed an opportunity to clarify the relationship between FET and stability.
IDS-673,Watkins Holdings v. Spain,Dissent on Liability and Quantum of Prof. Dr. Hélène Ruiz Fabri,Dissenting Opinion,Claimant,The Tribunal should have considered the date of the investment and how it affects the intensity of legitimate expectations.,"Tecmed Award, Cube Infrastructure Fund SICAV and others v. Kingdom of Spain, Isolux Netherlands, BV v. Kingdom of Spain, Novenergia II - Energy & Environment (SCA) (Grand Duchy of Luxembourg), SICAR v. The Kingdom of Spain","['date of investment', 'legitimate expectations', 'regulatory risk']",No,The dissenting judge argues the Tribunal failed to consider the impact of the investment date on legitimate expectations.
IDS-673,Watkins Holdings v. Spain,Dissent on Liability and Quantum of Prof. Dr. Hélène Ruiz Fabri,Dissenting Opinion,Claimant,The Tribunal did not adequately identify the framework for proportionality control when assessing the reasonableness of the measures.,,"['proportionality', 'regulatory power', 'FET', 'economic crisis']",No,The dissenting judge argues the Tribunal did not clearly set the parameters for proportionality control.
IDS-673,Watkins Holdings v. Spain,Dissent on Liability and Quantum of Prof. Dr. Hélène Ruiz Fabri,Dissenting Opinion,Claimant,The Tribunal should have analyzed the impact of the regulatory risk existing at the date of the investment on the amount of reparation.,,"['regulatory risk', 'DCF method', 'damages', 'date of investment']",No,The dissenting judge believes the Tribunal should have considered the regulatory risk when calculating damages.
IDS-673,Watkins Holdings v. Spain,Dissent on Liability and Quantum of Prof. Dr. Hélène Ruiz Fabri,Dissenting Opinion,Claimant,"The investment was not 'destroyed,' and the Tribunal's award of damages is not justified.",,"['damages', 'investment', 'reparation']",No,The dissenting judge argues the investment was not destroyed and the damages awarded are not justified.
IDS-673,Watkins Holdings v. Spain,Dissent on Liability and Quantum of Prof. Dr. Hélène Ruiz Fabri,Dissenting Opinion,Claimant,"The Tribunal should have conducted an in-depth analysis of Article 44(3) of Royal Decree 661/2007, including its scope and the arguments raised by the Respondent.","Royal Decree 661/2007, Article 44(3)","['Article 44(3)', 'Royal Decree 661/2007', 'stabilization', 'scope']",No,The dissenting judge argues the Tribunal's analysis of Article 44(3) was insufficient.
IDS-673,Watkins Holdings v. Spain,Decision on Spain's Request for Rectification of the Award,Supplementary,Respondent,"Spain argued that the Tribunal made a clerical error in calculating damages by using the wrong figure from the Second Brattle Quantum Report, leading to an underestimation of damages.",ICSID Convention Art. 49(2),"['clerical error', 'damages calculation', 'Brattle Report', 'rectification']",No,"The Tribunal found that the EUR 77 million figure was a deliberate decision based on the finding of a breach of the ECT on June 20, 2014, and not a clerical error."
IDS-673,Watkins Holdings v. Spain,Decision on Spain's Request for Rectification of the Award,Supplementary,Respondent,"Spain argued that the Tribunal erred by not excluding the impact of the 7% levy (TVPEE) when calculating damages, given the Tribunal's lack of jurisdiction over the TVPEE claim.",ICSID Convention Art. 49(2),"['TVPEE', 'jurisdiction', 'damages calculation', 'rectification']",No,"The Tribunal found that this argument was novel, not raised in the pleadings or submissions, and would require a review of evidence, which is beyond the scope of rectification."
IDS-673,Watkins Holdings v. Spain,Decision on Spain's Request for Rectification of the Award,Supplementary,Respondent,"Spain requested a stay of enforcement of the Award pending the decision on rectification, citing the need to notify the EU Commission and potential conflicts with EU law.","ICSID Convention Arts. 44-47, TFEU Art. 108","['stay of enforcement', 'EU Commission', 'EU law', 'TFEU', 'rectification']",No,"The Tribunal held that Articles 44-47 do not confer jurisdiction to grant a stay in a rectification proceeding.  The Tribunal relied on the Masdar decision and Rule 54(1) of the Arbitration Rules, which addresses stay of enforcement in the context of interpretation, revision, or annulment, but not rectification."
IDS-673,Watkins Holdings v. Spain,Decision on Spain's Request for Rectification of the Award,Supplementary,Claimant,"The Claimants argued that Spain's request for rectification was an attempt to re-litigate the merits of the case, which is outside the scope of Article 49(2) of the ICSID Convention.","ICSID Convention Art. 49(2), ICSID Arbitration Rules Rule 49","['rectification', 'merits', 'scope', 'reconsideration']",Yes,The Tribunal agreed that the request for rectification was not intended to address complex errors or re-litigate the merits of the case.
IDS-673,Watkins Holdings v. Spain,Decision on Spain's Request for Rectification of the Award,Supplementary,Claimant,"The Claimants argued that the Tribunal's damages calculation was consistent with its findings on liability and jurisdiction, and therefore, no error existed.",,"['damages', 'liability', 'jurisdiction', 'consistency']",Yes,The Tribunal agreed that the damages calculation was a deliberate decision and not a clerical error.
IDS-673,Watkins Holdings v. Spain,Decision on Spain's Request for Rectification of the Award,Supplementary,Claimant,The Claimants argued that the Tribunal lacked the authority to grant a stay of enforcement in a rectification proceeding.,"ICSID Convention Arts. 50-52, ICSID Arbitration Rule 54(1)","['stay of enforcement', 'jurisdiction', 'rectification']",Yes,"The Tribunal agreed, citing the Masdar decision and Rule 54(1), which limits stay of enforcement to interpretation, revision, or annulment."
IDS-673,Watkins Holdings v. Spain,Decision on Spain's Request for Rectification of the Award,Supplementary,Claimant,"The Claimants argued that the costs of the rectification proceeding should follow the event, given that Spain's request was unsuccessful.","ICSID Convention Art. 61(2), ICSID Arbitration Rules Rules 47(1)(j), 49(4)","['costs', 'costs follow the event', 'rectification']",Yes,"The Tribunal agreed, finding no merit in Spain's application for rectification and no jurisdiction for the stay of enforcement."
IDS-673,Watkins Holdings v. Spain,Decision on Spain's Request for Rectification of the Award,Supplementary,Respondent,"Spain argued that each party should bear its own costs and expenses, and both should share the costs of the rectification proceeding equally.",ICSID Convention Art. 61(2),"['costs', 'cost allocation', 'rectification']",No,"The Tribunal decided that costs should follow the event, as the Respondent's request was unsuccessful."
IDS-694,WCV and Channel Crossings v. Czech Republic,Final Award,Award (Final),Claimant,"Claimants argued that the regulatory changes in the Czech gambling sector, by themselves, constituted a breach of the FET standard.",BIT Art. 2(2),"['FET', 'regulatory changes', 'stability', 'transparency', 'consistency']",No,"The Tribunal found that the regulatory changes were implemented by a democratic State for a legitimate public purpose and in the furtherance of general welfare, and that there was no breach of the FET standard."
IDS-694,WCV and Channel Crossings v. Czech Republic,Final Award,Award (Final),Claimant,Claimants argued that the Czech Republic failed to act in a consistent manner and maintain a stable and transparent regulatory regime.,BIT Art. 2(2),"['FET', 'consistency', 'stability', 'transparency', 'regulatory regime']",No,"The Tribunal found that the regulatory changes were implemented by a democratic State for a legitimate public purpose and in the furtherance of general welfare, and that there was no breach of the FET standard."
IDS-694,WCV and Channel Crossings v. Czech Republic,Final Award,Award (Final),Claimant,Claimants argued that the Czech Republic breached its obligation not to act arbitrarily or unreasonably.,BIT Art. 2(2),"['FET', 'arbitrariness', 'unreasonableness', 'Decrees', 'Constitutional Court']",No,"The Tribunal found that the issuance of Decrees was regulated in a manner that did not seem arbitrary or discriminatory, and the 2011 and 2013 Decisions were the result of reasoned judgment, and thus the Decisions were not arbitrary or unreasonable."
IDS-694,WCV and Channel Crossings v. Czech Republic,Final Award,Award (Final),Claimant,"Claimants argued that the Czech Republic breached their legitimate expectations, which are protected under the FET standard.","BIT Art. 2(2), *Tecmed*","['FET', 'legitimate expectations', 'Exclusivity Representation', 'Renewability Representation']",No,The Tribunal found that the legal opinions did not constitute representations or specific assurances made by the State and could not bind the Czech Republic. The Tribunal also found that the 2007 Master Permit did not confer any specific assurances to Synot TIP as to its renewability.
IDS-694,WCV and Channel Crossings v. Czech Republic,Final Award,Award (Final),Claimant,"Claimants argued that the Czech Republic did not respect their acquired rights, as formalized in the 2007 Master Permit.","FET, *Aramco*, *AMCO*, *Magyar Farming*","['FET', 'acquired rights', '2007 Master Permit', 'transitional period']",No,"The Tribunal found that the Czech regulation failed to properly protect Claimants' acquired rights, but the Czech Republic's *de facto* conduct avoided any negative consequence for the investor: Claimants *de facto* enjoyed a transitional period which afforded reasonable protection for their acquired rights."
IDS-694,WCV and Channel Crossings v. Czech Republic,Final Award,Award (Final),Claimant,Claimants argued that Respondent breached its obligation to accord their investment full protection and security.,BIT Art. 2(2),"['FPS', 'legal security', 'Decrees', 'municipalities']",No,"The Tribunal found that the issuance of Decrees was regulated in a manner that did not seem arbitrary or discriminatory, and the claim for breach of FPS was also dismissed."
IDS-694,WCV and Channel Crossings v. Czech Republic,Final Award,Award (Final),Respondent,Respondent argued that the Tribunal lacks jurisdiction because it would be acting as a court of appeal on Czech domestic law.,,"['jurisdiction', 'court of appeal', 'Czech Constitutional Court']",No,The Tribunal's jurisdiction is limited to establishing whether the Czech Republic has breached the BIT. The Tribunal is not empowered to assess the legality of measures adopted by the Czech Republic under its domestic legal order.
IDS-694,WCV and Channel Crossings v. Czech Republic,Final Award,Award (Final),Respondent,Respondent argued that the regulatory changes were reasonable reactions to the changing nature of the gambling sector and were executed in the exercise of the State's police powers.,,"['police powers', 'regulatory changes', 'gambling sector']",Yes,The Tribunal found that the regulatory changes were implemented by a democratic State for a legitimate public purpose and in the furtherance of general welfare.
IDS-694,WCV and Channel Crossings v. Czech Republic,Final Award,Award (Final),Respondent,Respondent argued that the Czech Republic acted consistently and there was no expectation of a stable and transparent regulatory environment.,,"['consistency', 'stability', 'transparency', 'regulatory environment']",Yes,The Tribunal found that there was no breach of Art. 2 of the BIT through any alleged failure by the Republic to act consistently and maintain a stable and transparent regulatory framework.
